#Transcript_ID	GFF_annotation	HHPred_annotation
Smp_000020.1	Protein O-GlcNAcase	Ogoga, hyaluronoglucosaminidase
Smp_302970.1	Nuclear pore complex protein NUP54	Hypothetical protein BT3146
Smp_302980.1	Hypothetical protein	MBP, eosinophil granule major basic protein 1
Smp_302990.1	Protocadherin gamma-B4	Protocadherin beta 14
Smp_303000.1	Protocadherin-9	Cadherin-2
Smp_303010.1	Endoglycoceramidase	Endoglycoceramidase II
Smp_303070.1	Leishmanolysin-like peptidase	Leishmanolysin
Smp_303120.1	3-hydroxypropionyl-coenzyme A dehydratase	Putative enoyl-COA hydratase/isomerase
Smp_303250.1	Charged multivesicular body protein 2b	Charged multivesicular BODY protein 3
Smp_303260.1	Protein late bloomer	CD63-like protein SM-TSP-2
Smp_303270.1	CD63 antigen	CD63-like protein SM-TSP-2
Smp_303280.1	Tetraspanin-6	CD63-like protein SM-TSP-2
Smp_303290.1	CD63 antigen	CD63-like protein SM-TSP-2
Smp_303300.1	Immediate early response 3-interacting protein 1	TRNA pseudouridine synthase A
Smp_303310.1	Exocyst complex component EXO84	WAP, follistatin/kazal, immunoglobulin, kunitz and netrin domain containing 1
Smp_303320.1	25 kDa integral membrane protein	CD63-like protein SM-TSP-2
Smp_303330.1	Hemoglobinase	Doublecortin domain-containing protein 2
Smp_303350.1	Hypothetical protein	High affinity copper uptake protein 1
Smp_303360.1	Ribosome biogenesis protein BRX1 homolog	Probable BRIX-domain ribosomal biogenesis protein
Smp_303370.1	RNA pseudouridine synthase 4, mitochondrial	Aftrax, AF2260
Smp_303370.2	Hypothetical protein	Aftrax, AF2260
Smp_303380.1	ATP-dependent RNA helicase DDX1	ATP-dependent RNA helicase VASA
Smp_303390.1	heat shock 70 kDa protein homolog	Heat shock protein homolog SSE1
Smp_303400.1	heat shock 70 kDa protein homolog	Heat shock protein homolog SSE1
Smp_303410.1	heat shock 70 kDa protein homolog	Heat shock protein homolog SSE1
Smp_303420.1	heat shock 70 kDa protein homolog	Heat shock protein homolog SSE1
Smp_303430.1	Ubiquinone biosynthesis protein COQ4 homolog, mitochondrial	ALR8543 protein
Smp_303450.1	KH domain-containing protein 3	Ribulose bisphosphate carboxylase small chain
Smp_303490.1	Zinc finger CCCH domain-containing protein 15	Zinc finger CCCH-type antiviral protein 1
Smp_303500.1	elongation factor 1-alpha	Elongation factor EEF1A
Smp_303500.2	elongation factor 1-alpha	Elongation factor EEF1A
Smp_303510.1	UPF0428 protein CXorf56 homolog	Putative uncharacterized protein
Smp_303510.2	UPF0428 protein CXorf56 homolog	Adenylyltransferase and sulfurtransferase MOCS3
Smp_303510.3	UPF0428 protein CXorf56 homolog	GFA, glutathione-dependent formaldehyde-activating ENZ
Smp_303520.1	Small integral membrane protein 15	CT398
Smp_303530.1	MutS protein homolog 4	DNA mismatch repair protein MSH2
Smp_303540.1	Epsin-2	Ataxin-3
Smp_303540.2	Epsin-2	Epsin-3, ENT3
Smp_303550.1	heat shock 70 kDa protein homolog	Heat shock protein homolog SSE1
Smp_303560.1	Junction plakoglobin	Catenin beta-1, beta-catenin
Smp_303560.2	Junction plakoglobin	Catenin beta-1, beta-catenin
Smp_303570.1	Storkhead-box protein 1	Transcriptional regulator, CRP/FNR family
Smp_303570.2	Storkhead-box protein 1	Transcriptional regulator, CRP/FNR family
Smp_303580.1	Vesicle transport through interaction with t-SNAREs homolog 1A	Vesicle transport through interaction with T- snares homolog 1A
Smp_303590.1	Probable 39S ribosomal protein L45, mitochondrial	MRPL45
Smp_303590.2	Probable 39S ribosomal protein L45, mitochondrial	MRPL45
Smp_303600.1	Methionine synthase reductase	MSR
Smp_303600.2	Methionine synthase reductase	MSR
Smp_303610.1	Eukaryotic initiation factor 4A-III	Eukaryotic initiation factor 4A-III
Smp_303620.1	Prosaposin	NK-lysin
Smp_303630.1	Lipopolysaccharide-induced tumor necrosis factor-alpha factor homolog	Ring-box protein 1
Smp_303640.1	Ester hydrolase C11orf54 homolog	Hypothetical protein PTD012
Smp_303640.2	Ester hydrolase C11orf54 homolog	Hypothetical protein PTD012
Smp_303640.3	Ester hydrolase C11orf54 homolog	Hypothetical protein PTD012
Smp_303650.1	Splicing factor 1	SF1-BO isoform
Smp_303650.2	Splicing factor 1	Splicing factor 1
Smp_303660.1	DNA repair protein complementing XP-C cells homolog	RAD4, DNA repair protein RAD4
Smp_303670.1	Mediator of RNA polymerase II transcription subunit 18	Mediator of RNA polymerase II transcription subunit 18
Smp_303680.1	Rac GTPase-activating protein 1	N-chimerin
Smp_303690.1	Major egg antigen	TSP36, small heat shock protein
Smp_303690.2	Major egg antigen	TSP36, small heat shock protein
Smp_303690.3	Major egg antigen	TSP36, small heat shock protein
Smp_303760.1	Leishmanolysin-like peptidase	Leishmanolysin
Smp_303760.2	Leishmanolysin-like peptidase	Leishmanolysin
Smp_303770.1	Hypothetical protein	LA protein
Smp_303770.2	Negative elongation factor E	Negative elongation factor E
Smp_303860.1	Endothelin-converting enzyme 2	ECE-1, endothelin-converting enzyme 1
Smp_303900.1	Titin	NCAM2, neural cell adhesion molecule 2
Smp_303910.1	Titin	Titin
Smp_303910.2	Titin	Titin
Smp_303910.3	Titin	Titin
Smp_303920.1	PTS system N-acetylglucosamine-specific EIICBA component	SMAP3, small nuclear ribonucleoprotein homolog, SM-like P
Smp_303940.1	Dynein heavy chain 3, axonemal	Dynein heavy chain, cytoplasmic
Smp_303950.1	Hypothetical protein	Origin recognition complex subunit 1
Smp_303970.1	Hypothetical protein	CLIP-associating protein 1
Smp_303980.1	fibrocystin l	Hepatocyte growth factor receptor
Smp_304000.1	Stress response protein NST1	Myomesin
Smp_304030.1	Afadin- and alpha-actinin-binding protein B	Chromosome segregation protein SMC
Smp_304040.1	Afadin- and alpha-actinin-binding protein	Talin-1
Smp_304050.1	Complement C3 (Fragment)	NCF-1, P47PHOX, neutrophil cytosol factor 1
Smp_304060.1	Synaptotagmin 2	Synaptotagmin-1
Smp_304090.1	Afadin	RAS association domain-containing family protein
Smp_304090.2	Probable ATP-dependent RNA helicase ddx31	N36, 36-MER N-terminal peptide of the N protein
Smp_304090.3	Afadin	RAS association domain-containing family protein
Smp_304090.4	Afadin	RAS association domain-containing family protein
Smp_304090.5	Afadin	RAS association domain-containing family protein
Smp_304130.1	E3 ubiquitin-protein ligase MARCH6	ERAD-associated E3 ubiquitin-protein ligase DOA10
Smp_304130.2	E3 ubiquitin-protein ligase MARCH6	ERAD-associated E3 ubiquitin-protein ligase DOA10
Smp_304140.1	Membrane-bound transcription factor site-1 protease	Protease CSPB
Smp_304210.1	SCO-spondin	Basic fibroblast growth factor receptor 1
Smp_304220.1	Thrombospondin-2	Thrombospondin 1
Smp_304250.1	Purine nucleoside phosphorylase	Purine nucleoside phosphorylase
Smp_304260.1	Purine nucleoside phosphorylase	Purine-nucleoside phosphorylase
Smp_304320.1	(E3-independent) E2 ubiquitin-conjugating enzyme UBE2O	PHD finger protein 20-like 1
Smp_304320.2	(E3-independent) E2 ubiquitin-conjugating enzyme	Baculoviral IAP repeat-containing protein 6
Smp_304320.3	(E3-independent) E2 ubiquitin-conjugating enzyme	Baculoviral IAP repeat-containing protein 6
Smp_304320.4	(E3-independent) E2 ubiquitin-conjugating enzyme	PHD finger protein 20-like 1
Smp_304320.5	(E3-independent) E2 ubiquitin-conjugating enzyme UBE2O	PHD finger protein 20-like 1
Smp_304320.6	(E3-independent) E2 ubiquitin-conjugating enzyme UBE2O	PHD finger protein 20-like 1
Smp_304360.1	Protein farnesyltransferase/geranylgeranyltransferase type-1 subunit alpha	Farnesyltransferase alpha subunit
Smp_304360.2	Protein farnesyltransferase/geranylgeranyltransferase type-1 subunit alpha	Farnesyltransferase alpha subunit
Smp_304370.1	Hypothetical protein	Serine/threonine-protein kinase MARK1
Smp_304370.2	Serine/threonine-protein kinase MARK2	MAP/microtubule affinity-regulating kinase 3
Smp_304370.3	Serine/threonine-protein kinase MARK2	MAP/microtubule affinity-regulating kinase 3
Smp_304370.4	Serine/threonine-protein kinase MARK2	MAP/microtubule affinity-regulating kinase 3
Smp_304380.1	SWI/SNF-related matrix-associated actin-dependent regulator of chromatin subfamily D member 1	SWI/SNF related, matrix associated, actin dependent regulator of chromatin subfamily...
Smp_304450.1	Protein asteroid homolog 1	Exonuclease 1
Smp_304460.1	REST corepressor	Protein corest, REST corepressor 1
Smp_304460.2	REST corepressor	Protein corest, REST corepressor 1
Smp_304460.3	E3 ubiquitin-protein ligase Jade-2	Integrase
Smp_304500.1	Serine/threonine-protein kinase Nek11	5'-AMP-activated protein kinase catalytic subunit alpha-2
Smp_304500.2	Serine/threonine-protein kinase Nek11	Serine/threonine-protein kinase NEK2
Smp_304500.3	Serine/threonine-protein kinase Nek11	Serine/threonine-protein kinase NEK2
Smp_304500.4	Serine/threonine-protein kinase Nek11	Serine/threonine-protein kinase NEK2
Smp_304660.1	Nucleoside diphosphate kinase homolog 5	Nucleoside diphosphate kinase
Smp_304660.2	Nucleoside diphosphate kinase homolog 5	Nucleoside diphosphate kinase
Smp_304710.1	WD repeat, SAM and U-box domain-containing protein 1	Pancreatic hormone
Smp_304710.2	Hypothetical protein	Pancreatic hormone
Smp_304710.3	Hypothetical protein	Coat protein gamma
Smp_304710.4	Hypothetical protein	Coat protein gamma
Smp_304720.1	Wee1-like protein kinase	WEE1HU, WEE1-like protein kinase
Smp_304800.1	GPI mannosyltransferase 3	S1P4 first extracellular loop peptidomimetic
Smp_304800.2	GPI mannosyltransferase 3	Chromobox protein homolog 3
Smp_304800.3	GPI mannosyltransferase 3	Queuine tRNA-ribosyltransferase
Smp_304800.4	GPI mannosyltransferase 3	S1P4 first extracellular loop peptidomimetic
Smp_304800.5	Zinc finger protein 710	GLI-kruppel family member HKR3
Smp_304840.1	General transcription factor 3C polypeptide 3	UDP-N-acetylglucosamine--peptide N-acetylglucosaminyltransferase 110
Smp_304840.2	General transcription factor 3C polypeptide 3	UDP-N-acetylglucosamine--peptide N-acetylglucosaminyltransferase 110
Smp_304840.3	General transcription factor 3C polypeptide 3	UDP-N-acetylglucosamine--peptide N-acetylglucosaminyltransferase 110
Smp_304840.4	General transcription factor 3C polypeptide 3	Prolyl 4-hydroxylase alpha-1 subunit
Smp_304860.1	Neurogenic locus notch homolog protein 1	Epiregulin
Smp_304870.1	50S ribosomal protein L22	Sgrair restriction enzyme
Smp_304880.1	Elongation factor Ts	Adometdc, samdc, S-adenosylmethionine decarboxylase
Smp_304890.1	SCL-interrupting locus protein	DNA helicase II, UVRD
Smp_304890.2	SCL-interrupting locus protein	DNA helicase II, UVRD
Smp_304900.1	Chaperone protein HtpG	Poly [ADP-ribose] polymerase 1
Smp_304900.2	Alanine--tRNA ligase	Poly [ADP-ribose] polymerase 1
Smp_304910.1	Hypothetical protein	U-shaped transcriptional cofactor
Smp_304960.1	Probable ATP-dependent RNA helicase DDX46	Immunoglobulin-binding protein 1
Smp_304960.2	Probable ATP-dependent RNA helicase DDX46	PRE-mRNA-processing ATP-dependent RNA helicase PR
Smp_304970.1	Probable ATP-dependent RNA helicase DDX46	ATP-dependent RNA helicase VASA
Smp_304980.1	PR domain zinc finger protein 16	Zinc finger protein GFI-1
Smp_305030.1	B9 domain-containing protein 1	Hypothetical protein MTH1491
Smp_305030.2	B9 domain-containing protein 1	Thioredoxin
Smp_305030.3	B9 domain-containing protein 1	Thioredoxin
Smp_305050.1	Centrosomal protein of 131 kDa	IQ2 and IQ3 motifs from MYO2P, A class V myosin
Smp_305050.2	Centrosomal protein of 131 kDa	Smooth muscle myosin heavy chain
Smp_305060.1	Thioredoxin Y2, chloroplastic	Minsc, peptide of protein inscuteable homolog
Smp_305070.1	NEDD4-binding protein 1	Nonstructural protein NS2
Smp_305100.1	Pentatricopeptide repeat-containing protein At3g15590, mitochondrial	RAS association domain-containing protein 5
Smp_305100.2	Pentatricopeptide repeat-containing protein At3g15590, mitochondrial	RAS association domain-containing protein 5
Smp_305100.3	Mitochondrial dynamics protein MID49	LP04448P
Smp_305110.1	Uncharacterized aminotransferase Mb2256c	Poliovirus 3A-N, genome polyprotein [core protein P3A]
Smp_305120.1	GTPase Era, mitochondrial	GTP-binding protein
Smp_305120.2	GTPase Era, mitochondrial	GTP-binding protein ERA
Smp_305120.3	GTPase Era	GTP-binding protein
Smp_305120.4	GTPase Era, mitochondrial	GTP-binding protein ERA
Smp_305120.5	GTPase Era, mitochondrial	GTP-binding protein ERA
Smp_305130.1	GTPase Era, mitochondrial	GTP-binding protein ERA
Smp_305130.2	GTPase Era, mitochondrial	GTP-binding protein ERA
Smp_305200.1	RNA-binding protein 4.1	RNA-binding protein 4B
Smp_305210.1	Transcription factor 25	Phenylalanyl-tRNA synthetase alpha chain
Smp_305210.2	Transcription factor 25	FKBP52, FK506-binding protein 4
Smp_305210.3	Transcription factor 25	DNA topoisomerase I-like protein
Smp_305210.4	Non-structural protein 3	Photosystem 1 reaction centre subunit II
Smp_305210.5	Transcription factor 25	FKBP52, FK506-binding protein 4
Smp_305220.1	Protein melted	RNA-binding protein 5
Smp_305220.2	Protein EFR3	Ranaspumin-2, RSN-2
Smp_305220.3	Protein melted	Recombination-associated protein RDGC
Smp_305220.4	Peptidyl-prolyl cis-trans isomerase-like 4	Recombination-associated protein RDGC
Smp_305350.1	Ras-specific guanine nucleotide-releasing factor RalGPS2	RAS-specific guanine nucleotide-releasing factor
Smp_305350.2	Ras-specific guanine nucleotide-releasing factor RalGPS2	RAS-specific guanine nucleotide-releasing factor
Smp_305350.3	Hypothetical protein	Prostaglandin E synthase, fusion peptide
Smp_305400.1	MAGUK p55 subfamily member 7	Disks large homolog 4
Smp_305400.2	MAGUK p55 subfamily member 7	Disks large homolog 4
Smp_305410.1	Transmembrane protein 45B	Putative ABC transporter, periplasmic binding Pro amino acid
Smp_305430.1	Metabotropic glutamate receptor	Metabotropic glutamate receptor 3
Smp_305430.2	Metabotropic glutamate receptor	Metabotropic glutamate receptor 3
Smp_305460.1	DNA-directed RNA polymerase subunit beta	Hypothetical protein TM1631
Smp_305490.1	dystrophin,s A:C:F:G:H	Dystrophin
Smp_305490.2	dystrophin,s A:C:F:G:H	Dystrophin
Smp_305490.3	dystrophin,s A:C:F:G:H	Actinin
Smp_305490.4	dystrophin,s A:C:F:G:H	Spectrin beta chain, brain 1
Smp_305490.5	dystrophin,s A:C:F:G:H	Spectrin beta chain, brain 1
Smp_305490.6	dystrophin,s A:C:F:G:H	Actinin
Smp_305490.7	dystrophin,s A:C:F:G:H	Alpha-parvin
Smp_305550.1	Serpin B8	Maspin precursor
Smp_305560.1	Transmembrane protein 120B	5,10-methylenetetrahydrofolate dehydrogenase
Smp_305560.2	Transmembrane protein 120B	Protein (midkine)
Smp_305560.3	Transmembrane protein 120B	Protein (midkine)
Smp_305560.4	B-lymphocyte antigen CD19 (Fragment)	Targeting protein for XKLP2
Smp_305590.1	Conotoxin VnMKLT2-013	5'-tyrosyl-DNA phosphodiesterase
Smp_305620.1	Conotoxin VnMKLT2-013	5'-tyrosyl-DNA phosphodiesterase
Smp_305690.1	NF-kappa-B inhibitor-interacting Ras-like protein 1	RAS-like protein 12
Smp_305720.1	Kinesin-like protein KIF9	Kinesin-like protein KIF9
Smp_305730.1	Putative cysteine-rich repeat secretory protein 32	Glucose-6-phosphate isomerase
Smp_305740.1	Neuronal acetylcholine receptor subunit alpha-4	Acetylcholine receptor subunit alpha
Smp_305740.2	Neuronal acetylcholine receptor subunit alpha-4	Acetylcholine receptor subunit alpha
Smp_305760.1	DNA ligase 3	Holliday junction recognition protein
Smp_305770.1	DnaJ homolog subfamily C member 28	Putative uncharacterized protein F9E10.5
Smp_305780.1	TOMM20-like protein 1	Hemoglobin (OXY)
Smp_305800.1	Proteasome subunit beta type-1	20S proteasome
Smp_305800.2	Proteasome subunit beta type-1-B	20S proteasome
Smp_305800.3	Proteasome subunit beta type-1-B	20S proteasome
Smp_305870.1	Multiple PDZ domain protein	Disks large homolog 4
Smp_305870.2	Multiple PDZ domain protein	Disks large homolog 4
Smp_305920.1	Protein-tyrosine sulfotransferase A	Protein-tyrosine sulfotransferase 2
Smp_306080.1	DNA polymerase alpha catalytic subunit	DNA polymerase alpha catalytic subunit A
Smp_306120.1	Titin	Titin
Smp_306130.1	Cilia- and flagella-associated protein 206	LINE-1 type transposase domain-containing protein
Smp_306140.1	Mediator of RNA polymerase II transcription subunit 31	Mediator of RNA polymerase II transcription subunit 31
Smp_306140.2	Mediator of RNA polymerase II transcription subunit 31	Mediator of RNA polymerase II transcription subunit 31
Smp_306140.3	Mediator of RNA polymerase II transcription subunit 31	Mediator of RNA polymerase II transcription subunit 31
Smp_306180.1	Macrophage-expressed gene 1 protein	Complement component C8 alpha chain
Smp_306190.1	Nucleolar protein 4-like	Vesicle transport through interaction with T- snares homolog 1A
Smp_306190.2	Nucleolar protein 4-like	Vesicle transport through interaction with T- snares homolog 1A
Smp_306200.1	Tyrosine-protein phosphatase non-receptor type 21	Protein 4.1
Smp_306200.2	Tyrosine-protein phosphatase non-receptor type 21	Protein 4.1
Smp_306200.3	Hypothetical protein	Subtilisin A
Smp_306200.4	Hypothetical protein	Subtilisin A
Smp_306200.5	Hypothetical protein	Protein 4.1
Smp_306210.1	Nucleoside diphosphate kinase homolog 5	Nucleoside diphosphate kinase
Smp_306210.2	Nucleoside diphosphate kinase homolog 5	Nucleoside diphosphate kinase
Smp_306230.1	Nucleolin	FBP-interacting repressor
Smp_306230.2	Nucleolin	FBP-interacting repressor
Smp_306240.1	Neuronal acetylcholine receptor subunit alpha-3	Acetylcholine receptor subunit alpha
Smp_306240.2	Neuronal acetylcholine receptor subunit alpha-3	Acetylcholine receptor subunit alpha
Smp_306270.1	E3 ubiquitin-protein ligase mind-bomb	Ankyrin
Smp_306290.1	Sodium-dependent phosphate transporter 2	Integrin alpha-1
Smp_306300.1	Sodium-dependent phosphate transporter 2	Integrin alpha-1
Smp_306320.1	DNA primase small subunit	Conotoxin IM17A
Smp_306350.1	alpha 1,3 fucosyltransferase B	Alpha1,3-fucosyltransferase
Smp_306360.1	Protein ABHD16A	RNAse 4, protein (ribonuclease 4)
Smp_306360.2	Rab11 family-interacting protein 3	CSMN, chromosome segregation in meiosis protein 2
Smp_306360.3	Protein ABHD16A	Putative cell surface hydrolase
Smp_306360.4	Protein ABHD16A	UPF0269 protein YGGX
Smp_306360.5	Protein ABHD16A	Hypothetical protein PA2218
Smp_306360.6	Protein ABHD16A	MDM4 protein
Smp_306360.7	Protein ABHD16A	Melanoma differentiation associated protein-5
Smp_306370.1	MAP/microtubule affinity-regulating kinase 4	MAP/microtubule affinity-regulating kinase 3
Smp_306370.2	MAP/microtubule affinity-regulating kinase 4	MAP/microtubule affinity-regulating kinase 3
Smp_306370.3	MAP/microtubule affinity-regulating kinase 4	MAP/microtubule affinity-regulating kinase 3
Smp_306370.4	Hypothetical protein	Serine/threonine-protein kinase MARK1
Smp_306440.1	Zinc finger protein 729	AART
Smp_306450.1	Neural-cadherin	Neurexin-1-alpha
Smp_306580.1	Retinol dehydrogenase 12	Mypaa.01249.C
Smp_306600.1	Actin-1	Actin-like protein ARP8
Smp_306610.1	Cytoplasmic dynein 1 light intermediate chain 2	RHO-related GTP-binding protein RHOE
Smp_306630.1	Probable 39S ribosomal protein L19, mitochondrial	MRPL19
Smp_306640.1	Importin-11	Importin alpha RE-exporter
Smp_306640.2	Importin-11	Importin alpha RE-exporter
Smp_306640.3	Type III pantothenate kinase	Uncharacterized NTF-2 like protein
Smp_306680.1	Cercarial protease	Granzyme C
Smp_306690.1	Cap-specific mRNA (nucleoside-2'-O-)-methyltransferase 1	CAP-specific mRNA (nucleoside-2'-O-)-methyltransf
Smp_306710.1	Translocon-associated protein subunit alpha	NADH-quinone oxidoreductase subunit A
Smp_306720.1	Translocon-associated protein subunit alpha	NADH-quinone oxidoreductase subunit A
Smp_306730.1	Diphthine--ammonia ligase	FKBO, chorismatase
Smp_306730.2	Diphthine--ammonia ligase	N-type ATP pyrophosphatase superfamily
Smp_306740.1	Diphthine--ammonia ligase	N-type ATP pyrophosphatase superfamily
Smp_306750.1	Diphthine--ammonia ligase	N-type ATP pyrophosphatase superfamily
Smp_306800.1	Rho guanine nucleotide exchange factor 16	RHO guanine nucleotide exchange factor 1
Smp_306800.2	Rho guanine nucleotide exchange factor 16	RHO guanine nucleotide exchange factor 1
Smp_306800.3	Hypothetical protein	Ribosomal protein L4
Smp_306810.1	Thyroid adenoma-associated protein homolog	Ancillary pilin, cell WALL surface anchor family protein
Smp_306810.2	Thyroid adenoma-associated protein homolog	Ancillary pilin, cell WALL surface anchor family protein
Smp_306810.3	Thyroid adenoma-associated protein homolog	Proadrenomedullin N-20 terminal peptide
Smp_306810.4	Thyroid adenoma-associated protein homolog	Ancillary pilin, cell WALL surface anchor family protein
Smp_306840.1	Hypothetical protein	Nuclear receptor-interacting protein 1
Smp_306850.1	Hypothetical protein	VPS4-associated protein 1
Smp_306860.1	glutathione S-transferase class-mu 28 kDa isozyme	Glutathione S-transferase
Smp_306910.1	Integrin alpha-7	Integrin alpha-V
Smp_306920.1	CTP synthase	Voltage-dependent R-type calcium channel subunit
Smp_306930.1	CTP synthase	Voltage-dependent R-type calcium channel subunit
Smp_306960.1	Retinol dehydrogenase 13	Mypaa.01249.C
Smp_306970.1	Retinol dehydrogenase 11	Mypaa.01249.C
Smp_306980.1	Innexin unc-9	Hypothetical protein AT5G08430
Smp_306980.2	Innexin unc-7	Protein (BAND 3 anion transport protein)
Smp_306980.3	Innexin unc-9	DNA polymerase III subunit CHI
Smp_306990.1	Hypothetical protein	Subdomain of desmoplakin carboxy-terminal domain (DPCT)
Smp_307000.1	Desmoplakin	Desmoplakin
Smp_307010.1	Actin-2	Actin-like protein ARP8
Smp_307020.1	Actin-2	Actin-like protein ARP8
Smp_307050.1	TAR DNA-binding protein 43	TAR DNA-binding protein 43
Smp_307060.1	Histone-lysine N-methyltransferase NSD2	Probable histone-lysine N-methyltransferase ASH1L
Smp_307070.1	Origin recognition complex subunit 3	Diphtheria toxin
Smp_307080.1	Hypothetical protein	Pleckstrin homology domain-containing protein family B member 1
Smp_307080.2	Putative ankyrin repeat protein R873	HC-Pro, helper component proteinase
Smp_307080.3	Putative ankyrin repeat protein R873	RRNA-processing protein UTP23
Smp_307080.4	Hypothetical protein	Pleckstrin homology domain-containing protein family B member 1
Smp_307090.1	ABC transporter A family member 2	Probable LACI-family transcriptional regulator
Smp_307090.2	Nesprin-1	Plectin
Smp_307090.3	Nesprin-1	Plectin
Smp_307090.4	Nesprin-1	Plectin
Smp_307090.5	Nesprin-1	Plectin
Smp_307090.6	Nesprin-1	Plectin
Smp_307090.7	Extracellular matrix-binding protein ebh	Spectrin beta chain, brain 1
Smp_307170.1	Zinc finger transcription factor family protein 17	Transcription elongation factor S-II protein 3
Smp_307210.1	Phosphatidate cytidylyltransferase, mitochondrial	Putative nucleotidyltransferase
Smp_307220.1	MEG-4 (10.3) family	Protein CASC5
Smp_307220.2	MEG-4 (10.3) family	Protein CASC5
Smp_307220.3	MEG-4 (10.3) family	Programmed cell death protein 4
Smp_307240.1	Antigen 10-3	SUN domain-containing protein 2
Smp_307260.1	cAMP-dependent protein kinase catalytic subunit alpha	PKA C-alpha, CAMP-dependent protein kinase, alpha-catalytic SU
Smp_307260.2	cAMP-dependent protein kinase catalytic subunit alpha	PKA C-alpha, CAMP-dependent protein kinase, alpha-catalytic SU
Smp_307260.3	cAMP-dependent protein kinase catalytic subunit alpha	PKA C-alpha, CAMP-dependent protein kinase, alpha-catalytic SU
Smp_307260.4	cAMP-dependent protein kinase catalytic subunit	PKA C-alpha, CAMP-dependent protein kinase, alpha-catalytic SU
Smp_307270.1	Innexin eat-5	Nonstructural polyprotein
Smp_307330.1	Cytochrome c oxidase protein 20 homolog	Cytochrome C1
Smp_307360.1	rhodopsin orphan GPCR	Proteinase-activated receptor 1, lysozyme
Smp_307400.1	Conserved oligomeric Golgi complex subunit 4	COG4
Smp_307410.1	N-alpha-acetyltransferase 10	N-terminal acetyltransferase A complex catalytic ARD1
Smp_307430.1	Protein pad-1	YJBS
Smp_307440.1	Phosphoglycerate kinase	Phosphoglycerate kinase 1
Smp_307450.1	U-actitoxin-Avd3s (Fragment)	BPTI, bovine pancreatic trypsin inhibitor
Smp_307450.2	U-actitoxin-Avd3s (Fragment)	BPTI, bovine pancreatic trypsin inhibitor
Smp_307450.3	U-actitoxin-Avd3s (Fragment)	BPTI, bovine pancreatic trypsin inhibitor
Smp_307460.1	UDP-N-acetylglucosamine--N-acetylmuramyl-(pentapeptide) pyrophosphoryl-undecaprenol N-acetylglucosamine transferase	The major capsid protein of PBCV-1, VP54
Smp_307470.1	UDP-N-acetylglucosamine--N-acetylmuramyl-(pentapeptide) pyrophosphoryl-undecaprenol N-acetylglucosamine transferase	The major capsid protein of PBCV-1, VP54
Smp_307490.1	Dihydrolipoyllysine-residue succinyltransferase component of 2-oxoglutarate dehydrogenase complex, mitochondrial(Fragment)	Dihydrolipoyllysine-residue acetyltransferase component of pyruvate dehydrogenase...
Smp_307500.1	Alpha-2A adrenergic receptor	Bimax1 peptide
Smp_307510.1	Acid phosphatase type 7	Purple acid phosphatase
Smp_307520.1	Extracellular metalloproteinase 10	Zinc finger protein 473
Smp_307530.1	Histone deacetylase complex subunit SAP18	Histone deacetylase complex subunit SAP18
Smp_307540.1	40S ribosomal protein S13	40S ribosomal protein S13, putative
Smp_307550.1	40S ribosomal protein S13	40S ribosomal protein S13, putative
Smp_307570.1	RNA pseudouridylate synthase domain-containing protein 2	Ribosomal large subunit pseudouridine synthase D
Smp_307570.2	tRNA pseudouridine(32) synthase, mitochondrial	Ribosomal large subunit pseudouridine synthase D
Smp_307580.1	Hypothetical protein	CAMP-dependent protein kinase inhibitor alpha
Smp_307590.1	Solute carrier organic anion transporter family member 5A1	Nitrate transporter 1.1
Smp_307590.2	Solute carrier organic anion transporter family member 4C1	Nitrate transporter 1.1
Smp_307600.1	Neurobeachin-like protein 2	Lipopolysaccharide-responsive and beige-like anchor protein, CDC4-like protein
Smp_307620.1	Hypothetical protein	Pyridoxal phosphate biosynthetic protein PDXJ
Smp_307630.1	DNA-directed RNA polymerase I subunit RPA12	RNA polymerase II
Smp_307640.1	Cingulin	Smooth muscle myosin heavy chain
Smp_307650.1	Uncharacterized protein MJ0900	1,3-beta-glucanase
Smp_307730.1	Alpha-ketoglutarate-dependent dioxygenase alkB homolog 4	Alpha-ketoglutarate-dependent dioxygenase ALKB HO
Smp_307730.2	Alpha-ketoglutarate-dependent dioxygenase alkB homolog 4	Alkylated repair protein ALKB homolog 3
Smp_307780.1	Protocadherin-1	EP-cadherin, C-cadherin
Smp_307800.1	Hypothetical protein	GDNF family receptor alpha 1
Smp_307800.2	Hypothetical protein	Phosphopantetheine adenylyltransferase
Smp_307800.3	Hypothetical protein	Phosphopantetheine adenylyltransferase
Smp_307800.4	Hypothetical protein	GDNF family receptor alpha 1
Smp_307810.1	Succinate dehydrogenase assembly factor 3, mitochondrial	60S ribosomal protein L38, putative
Smp_307810.2	Succinate dehydrogenase assembly factor 3, mitochondrial	60S ribosomal protein L38, putative
Smp_307810.3	Succinate dehydrogenase assembly factor 3, mitochondrial	60S ribosomal protein L38, putative
Smp_307810.4	Hypothetical protein	Stromal interaction molecule 1
Smp_307810.5	Protein translocase subunit SecA	COMB10
Smp_307830.1	ATP-dependent zinc metalloprotease FtsH	Uncharacterized protein
Smp_307840.1	alkaline phosphatase	Alkaline phosphatase
Smp_307880.1	Voltage-dependent calcium channel subunit alpha-2/delta-2	VON willebrand factor type A
Smp_307880.2	Voltage-dependent calcium channel subunit alpha-2/delta-2	VON willebrand factor type A
